GJA5-1697	hemB	delta-aminolevulinic acid dehydratase	
GJA5-604	SAR0609	hypothetical protein	
GJA5-224	SAR0229	hypothetical protein	
GJA5-2170	atpF	F0F1 ATP synthase subunit B	
GJA5-795	SAR0821	hypothetical protein	
GJA5-998	qoxD	quinol oxidase polypeptide IV	
GJA5-1370	dapA	dihydrodipicolinate synthase	
GJA5-225	SAR0230	extracellular solute-binding lipoprotein	
GJA5-2171	atpE	F0F1 ATP synthase subunit C	
GJA5-473	SAR0487	DNA replication intiation control protein YabA	Q6GJI5
GJA5-985	SAR1017	menaquinone biosynthesis bifunctional protein	
GJA5-1371	dapB	dihydrodipicolinate reductase	
GJA5-2172	atpB	F0F1 ATP synthase subunit A	
GJA5-226	SAR0231	hypothetical protein	
GJA5-1105	SAR1137	hypothetical protein	
GJA5-349	SAR0361	hypothetical protein	
GJA5-1372	dapD	tetrahydrodipicolinate acetyltransferase	
GJA5-2173	atpI	ATP synthase I	
GJA5-227	SAR0232	hypothetical protein	
GJA5-884	mnhC	monovalent cation/H+ antiporter subunit C	
GJA5-1373	SAR1410	peptidase	Q6GH10
GJA5-2174	mnaA	UDP-GlcNAc 2-epimerase	
GJA5-605	SAR0610	acetyltransferase	
GJA5-228	SAR0233	flavohemoprotein	
GJA5-394	SARs004	GJA5-394-RNA	
GJA5-796	SAR0822	hypothetical protein	
GJA5-2175	upp	uracil phosphoribosyltransferase	
GJA5-1374	dal	alanine racemase	
GJA5-229	ldh1	L-lactate dehydrogenase	
GJA5-474	SAR0488	hypothetical protein	
GJA5-2265	lacR	lactose phosphotransferase system repressor	
GJA5-986	SAR1018	hydrolase	
GJA5-1375	lysA	diaminopimelate decarboxylase	
GJA5-230	SAR0235	PTS transport system, IIBC component	
GJA5-1106	SAR1138	transposase	
GJA5-2177	SAR2202	hypothetical protein	Q6GEW1
GJA5-350	rpsF	30S ribosomal protein S6	
GJA5-1376	SAR1413	hypothetical protein	
GJA5-921	oppB	oligopeptide ABC transporter permease	
GJA5-231	SAR0236	inosine-uridine preferring nucleoside hydrolase	
GJA5-2178	SAR2203	low molecular weight protein-tyrosine-phosphatase	
GJA5-1377	cspA	cold shock protein	
GJA5-606	SAR0611	phosphohydrolase	
GJA5-232	SAR0237	hypothetical protein	
GJA5-798	clpP	ATP-dependent Clp protease proteolytic subunit	
GJA5-2179	SAR2204	hypothetical protein	
GJA5-351	ssb	single-strand DNA-binding protein	
GJA5-1378	SAR1415	hypothetical protein	
GJA5-233	SAR0240	PTS transport system, IIA component	
GJA5-475	SAR0489	hypothetical protein	Q6GJI3
GJA5-2180	SAR2205	hypothetical protein	
GJA5-987	menB	naphthoate synthase	
GJA5-1379	SAR1416	acylphosphatase	
GJA5-234	SAR0241	PTS transport system, IIB component	
GJA5-1107	SAR1139	superantigen-like protein	
GJA5-2181	prfA	peptide chain release factor 1	
GJA5-1380	SAR1417	hypothetical protein	
GJA5-235	SAR0242	PTS transport system, IIC component	
GJA5-885	mnhB	monovalent cation/H+ antiporter subunit B	
GJA5-2182	SAR2207	thymidine kinase	
GJA5-1381	SAR1418	hypothetical protein	Q6GH02
GJA5-607	SAR0612	hypothetical protein	
GJA5-236	SAR0243	zinc-binding dehydrogenase	
GJA5-799	SAR0824	malate dehydrogenase	
GJA5-2183	rpmE2	50S ribosomal protein L31	
GJA5-352	rpsR	30S ribosomal protein S18	
GJA5-1382	SAR1419	branched-chain amino acid transporter protein	Q6GH01
GJA5-237	SAR0244	hypothetical protein	
GJA5-476	SAR0490	tetrapyrrole (corrin/porphyrin) methylase	
GJA5-2184	rho	transcription termination factor Rho	
GJA5-988	sspC	hypothetical protein	
GJA5-1383	SAR1420	hypothetical protein	
GJA5-238	SAR0245	zinc-binding dehydrogenase	
GJA5-1108	SAR1140	superantigen-like protein	
GJA5-1384	SAR1421	hypothetical protein	Q6GGZ9
GJA5-922	oppC	oligopeptide ABC transporter permease	
GJA5-1136	SARs010	GJA5-1136-RNA	
GJA5-2185	SAR2210	aldehyde dehydrogenase	Q6GEV3
GJA5-239	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	
GJA5-1385	SAR1422	hypothetical protein	
GJA5-2186	SAR2211	hypothetical protein	
GJA5-608	adhA	alcohol dehydrogenase	
GJA5-240	SAR0247	zinc-binding dehydrogenase	
GJA5-800	SAR0825	hypothetical protein	Q6GIM1
GJA5-353	SAR0365	hypothetical protein	
GJA5-1386	SAR1423	hypothetical protein	
GJA5-2187	murA2	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	
GJA5-241	SAR0248	hypothetical protein	
GJA5-477	metG	methionyl-tRNA synthetase	
GJA5-989	sspB	cysteine protease precursor	
GJA5-1387	odhB	dihydrolipoamide succinyltransferase	
GJA5-2188	SAR2213	fructose-bisphosphate aldolase	
GJA5-242	SAR0249	hypothetical protein	
GJA5-1109	SAR1141	superantigen-like protein	
GJA5-1388	sucA	2-oxoglutarate dehydrogenase E1 component	
GJA5-2189	SAR2214	hypothetical protein	
GJA5-243	SAR0250	hypothetical protein	
GJA5-886	mnhA	monovalent cation/H+ antiporter subunit A	
GJA5-1389	arlS	sensor kinase	
GJA5-1909	SARt032	tRNA-Tyr	
GJA5-609	SAR0614	hypothetical protein	
GJA5-244	SAR0251	teichoic acid biosynthesis protein	
GJA5-454	SARt003	tRNA-Ser	
GJA5-801	SAR0826	hypothetical protein	
GJA5-354	SAR0366	integrase	
GJA5-1390	arlR	response regulator protein	
GJA5-2191	rpoE	DNA-directed RNA polymerase subunit delta	
GJA5-245	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	
GJA5-478	SAR0492	TatD related DNase	
GJA5-990	sspA	glutamyl endopeptidase precursor	
GJA5-1391	SAR1428	hypothetical protein	
GJA5-2192	SAR2217	acetyltransferase	
GJA5-246	SAR0253	zinc-binding dehydrogenase	
GJA5-1110	otc	ornithine carbamoyltransferase	
GJA5-1392	SAR1429	hypothetical protein	
GJA5-2193	SAR2218	pantothenate kinase	
GJA5-923	oppD	oligopeptide transport ATP-binding protein	
GJA5-247	SAR0254	hypothetical protein	
GJA5-1393	murG	UDPdiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	
GJA5-2194	SAR2219	hypothetical protein	
GJA5-610	argS	arginyl-tRNA synthetase	
GJA5-248	SAR0255	glycosyl transferase family protein	
GJA5-802	gapR	glycolytic operon regulator	
GJA5-355	SAR0367	DNA-binding protein	
GJA5-1394	SAR1431	acetyltransferase	
GJA5-2195	SAR2220	hypothetical protein	
GJA5-249	scdA	cell wall biosynthesis protein ScdA	
GJA5-479	SAR0493	hypothetical protein	
GJA5-991	SAR1023	aminotransferase	
GJA5-1395	SAR1432	protease	Q6GGY8
GJA5-2196	SAR2221	peptidase	
GJA5-250	lytS	autolysin sensor kinase	
GJA5-1111	SAR1143	carbamate kinase	
GJA5-1396	SAR1433	transposase	
GJA5-2197	luxS	S-ribosylhomocysteinase	
GJA5-251	lytR	two-component response regulator	
GJA5-887	SAR0915	hypothetical protein	
GJA5-1397	SAR1434	hypothetical protein	Q6GGY6
GJA5-2198	SAR2223	hypothetical protein	
GJA5-611	SAR0617	DNA repair protein	
GJA5-252	lrgA	murein hydrolase regulator LrgA	
GJA5-803	gap1	glyceraldehyde 3-phosphate dehydrogenase 1	
GJA5-356	SAR0368	DNA-binding protein	
GJA5-1398	SAR1435	PTS system glucose-specific transporter subunit IIA	
GJA5-253	lrgB	antiholin-like protein LrgB	
GJA5-480	ksgA	dimethyladenosine transferase	
GJA5-992	SAR1025	MarR family regulatory protein	
GJA5-1399	SAR1436	methionine sulfoxide reductase B	
GJA5-2200	deoC2	deoxyribose-phosphate aldolase	
GJA5-254	SAR0261	nitric oxide reductase	
GJA5-1112	SAR1144	hypothetical protein	
GJA5-1400	msrA2	methionine sulfoxide reductase A	
GJA5-2201	deoD	purine nucleoside phosphorylase	
GJA5-924	oppF	oligopeptide transport ATP-binding protein	
GJA5-1342	SARs011	GJA5-1342-RNA	
GJA5-255	SAR0262	GntR family transcriptional regulator	
GJA5-2259	lacE	PTS system lactose-specific transporter subunit IIBC	
GJA5-1401	SAR1438	hypothetical protein	Q6GGY2
GJA5-2202	SAR2227	non-heme iron-containing ferritin	
GJA5-612	SAR0618	transport system lipoprotein	
GJA5-256	SAR0263	PTS transporter	
GJA5-804	pgk	phosphoglycerate kinase	
GJA5-357	SAR0369	hypothetical protein	
GJA5-1402	dfrB	dihydrofolate reductase	
GJA5-2203	SAR2228	hypothetical protein	
GJA5-257	bglA	6-phospho-beta-glucosidase	
GJA5-481	veg	hypothetical protein	
GJA5-993	atl	bifunctional autolysin precursor	
GJA5-1403	thyA	thymidylate synthase	
GJA5-2204	SAR2229	hypothetical protein	
GJA5-258	SAR0265	hypothetical protein	
GJA5-1113	SAR1146	hypothetical protein	
GJA5-1404	SAR1441	hypothetical protein	Q6GGX9
GJA5-2205	SAR2230	hypothetical protein	
GJA5-259	SAR0266	ribokinase	
GJA5-888	SAR0916	cyclophilin type peptidyl-prolyl cis-trans isomerase	Q6GID4
GJA5-1405	SAR1442	hypothetical protein	
GJA5-2250	SAR2272	hypothetical protein	
GJA5-613	SAR0619	FecCD transport family protein	
GJA5-260	SAR0267	D-ribose pyranase	
GJA5-805	tpiA	triosephosphate isomerase	
GJA5-358	SAR0370	hypothetical protein	
GJA5-1406	SAR1443	hypothetical protein	
GJA5-2207	SAR2232	hypothetical protein	
GJA5-261	SAR0268	sugar transport protein	
GJA5-482	ipk	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	
GJA5-994	SAR1027	acetyltransferase (GNAT) family protein	Q6GI30
GJA5-1407	SAR1444	hypothetical protein	
GJA5-2208	czrA	zinc and cobalt transport repressor protein	
GJA5-262	SAR0269	LacI family regulatory protein	
GJA5-1114	SAR1147	hypothetical protein	
GJA5-1408	SAR1445	hypothetical protein	
GJA5-2209	czrB	zinc resistance protein	
GJA5-925	SAR0953	transport system extracellular binding lipoprotein	
GJA5-263	SAR0269a	hypothetical protein	
GJA5-1910	SARt033	tRNA-Thr	
GJA5-1409	SAR1446	hypothetical protein	
GJA5-2210	SAR2235	hypothetical protein	
GJA5-614	SAR0620	haloacid dehalogenase-like hydrolase	
GJA5-264	SAR0270	hypothetical protein	
GJA5-458	SARs005	GJA5-458-RNA	
GJA5-806	pgm	phosphoglyceromutase	
GJA5-359	SAR0371	hypothetical protein	
GJA5-1410	ebh	hypothetical protein	
GJA5-2211	SAR2239	hypothetical protein	
GJA5-265	SAR0271	transport protein	
GJA5-483	purR	pur operon repressor	
GJA5-995	SAR1028	hypothetical protein	
GJA5-1411	SAR1448	transporter protein	
GJA5-2212	SAR2240	haloacid dehalogenase-like hydrolase	
GJA5-266	SAR0272	choloylglycine hydrolase	
GJA5-1115	SAR1148	DNA-binding protein	
GJA5-1412	SAR1449	amino acid permease	
GJA5-2213	SAR2241	ABC transporter ATP-binding protein	
GJA5-267	lytM	peptidoglycan hydrolase	
GJA5-889	SAR0917	S1 RNA-binding domain-containing protein	
GJA5-1413	tdcB	threonine dehydratase	
GJA5-2214	glmS	glucosamine--fructose-6-phosphate aminotransferase	
GJA5-615	SAR0621	hydrolase	
GJA5-268	SAR0274	ABC transporter ATP-binding protein	
GJA5-807	eno	phosphopyruvate hydratase	
GJA5-360	SAR0372	hypothetical protein	
GJA5-1414	ald2	alanine dehydrogenase	
GJA5-2216	SAR2243	hypothetical protein	
GJA5-269	SAR0275	hypothetical protein	
GJA5-484	yabJ	regulatory protein	
GJA5-996	SAR1029	hypothetical protein	
GJA5-1415	SAR1452	5'-3' exonuclease	
GJA5-2217	mtlA	PTS system mannitol-specific transporter subunit IIBC	
GJA5-270	SAR0276	hypothetical protein	
GJA5-1117	SAR1150	anti protein	
GJA5-1416	SAR1453	hypothetical protein	
GJA5-926	SAR0955	transposase	
GJA5-2218	SAR2245	transcriptional antiterminator	
GJA5-271	SAR0277	hypothetical protein	
GJA5-1417	SAR1455	hypothetical protein	
GJA5-616	SAR0622	hypothetical protein	
GJA5-2219	mtlF	PTS system mannitol-specific transporter subunit IIA	
GJA5-272	SAR0278	hypothetical protein	
GJA5-808	SAR0833	hypothetical protein	
GJA5-377	SAR0391	hypothetical protein	
GJA5-1418	SAR1456	hypothetical protein	
GJA5-2236	SAR2256	hypothetical protein	
GJA5-273	SAR0279	hypothetical protein	
GJA5-485	spoVG	regulatory protein SpoVG	
GJA5-997	fmt	autolysis and methicillin resistant-related protein	
GJA5-1420	SAR1457	hypothetical protein	
GJA5-274	SAR0280	hypothetical protein	
GJA5-1118	SAR1151	haloacid dehalogenase-like hydrolase	
GJA5-2222	SAR2251	transposase	
GJA5-1421	SAR1458	hypothetical protein	Q6GGW3
GJA5-1343	SARs012	GJA5-1343-RNA	
GJA5-275	SAR0281	hypothetical protein	
GJA5-890	SAR0918	NADH:flavin oxidoreductase / NADH oxidase	
GJA5-2223	glmM	phosphoglucosamine mutase	
GJA5-1422	SAR1459	hypothetical protein	
GJA5-617	SAR0623	hypothetical protein	
GJA5-276	SAR0282	hypothetical protein	
GJA5-2224	SAR2253	hypothetical protein	
GJA5-463	SARr001	16S ribosomal RNA	
GJA5-809	secG	preprotein translocase subunit SecG	
GJA5-362	SAR0374	hypothetical protein	
GJA5-1423	SAR1459a	hypothetical protein	
GJA5-277	SAR0283	hypothetical protein	
GJA5-2225	SAR2254	hypothetical protein	
GJA5-486	glmU	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	
GJA5-1424	recU	Holliday junction-specific endonuclease	
GJA5-278	SAR0284	hypothetical protein	
GJA5-1119	SAR1152	hypothetical protein	Q6GHQ9
GJA5-2226	rocF	arginase	
GJA5-1425	pbp2	penicillin-binding protein 2	
GJA5-927	appD	oligopeptide transport ATP-binding protein	
GJA5-279	SAR0285	hypothetical protein	
GJA5-1426	SAR1462	hypothetical protein	
GJA5-2267	SAR2289	hypothetical protein	
GJA5-618	SAR0624	esterase	
GJA5-280	SAR0286	hypothetical protein	
GJA5-810	est	carboxylesterase	
GJA5-363	SAR0375	hypothetical protein	
GJA5-1427	SAR1463	endonuclease	
GJA5-287	SAR0293	hypothetical protein	
GJA5-281	SAR0287	hypothetical protein	
GJA5-487	prs	ribose-phosphate pyrophosphokinase	
GJA5-999	qoxC	quinol oxidase polypeptide III	
GJA5-1428	SAR1464	hypothetical protein	
GJA5-2239	SAR2261	hypothetical protein	
GJA5-282	SAR0288	hypothetical protein	
GJA5-1120	SAR1153	hypothetical protein	
GJA5-1429	asnC	asparaginyl-tRNA synthetase	
GJA5-2240	SAR2262	UTP--glucose-1-phosphate uridylyltransferase	Q6GEQ8
GJA5-283	SAR0289	hypothetical protein	
GJA5-891	rocD	ornithine--oxo-acid transaminase	
GJA5-1911	SARt034	tRNA-Phe	
GJA5-1430	SAR1466	hypothetical protein	
GJA5-2241	SAR2263	hypothetical protein	
GJA5-619	sarA	accessory regulator A	
GJA5-284	SAR0290	hypothetical protein	
GJA5-811	rnr	ribonuclease R	
GJA5-364	SAR0376	hypothetical protein	
GJA5-1431	birA	BirA bifunctional protein [includes: biotin operon repressor; biotin--[acetyl-CoA-carboxylase] synthetase	
GJA5-2242	SAR2264	hypothetical protein	Q6GEQ6
GJA5-288	SAR0294	hypothetical protein	
GJA5-285	SAR0291	hypothetical protein	
GJA5-488	rplY	50S ribosomal protein L25/general stress protein Ctc	
GJA5-1000	qoxB	quinol oxidase polypeptide I	
GJA5-1432	papS	tRNA CCA-pyrophosphorylase	
GJA5-2243	SAR2265	hypothetical protein	
GJA5-286	SAR0292	hypothetical protein	
GJA5-1121	SAR1154	cell division protein MraZ	
GJA5-2244	SAR2266	FecCD transport family protein	
GJA5-1433	SAR1469	glycosyl transferase family protein	
GJA5-928	appF	oligopeptide transport ATP-binding protein	
GJA5-1434	SAR1470	hypothetical protein	
GJA5-2245	SAR2267	FecCD transport family protein	
GJA5-1435	SAR1471	hypothetical protein	
GJA5-620	SAR0626	hypothetical protein	
GJA5-1436	SAR1472	hypothetical protein	
GJA5-812	smpB	SsrA-binding protein	
GJA5-1437	SAR1473	hypothetical protein	Q6GGU7
GJA5-365	SAR0377	hypothetical protein	
GJA5-2246	SAR2268	transport system binding lipoprotein	
GJA5-289	SAR0299	hypothetical protein	
GJA5-1438	SAR1474	hypothetical protein	
GJA5-489	SAR0503	peptidyl-tRNA hydrolase	
GJA5-1001	qoxA	quinol oxidase polypeptide II precursor	
GJA5-1439	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	
GJA5-2247	SAR2269	hypothetical protein	
GJA5-1440	aroB	3-dehydroquinate synthase	
GJA5-1122	mraW	S-adenosyl-methyltransferase MraW	
GJA5-1441	aroC	chorismate synthase	
GJA5-2248	SAR2270	hypothetical protein	
GJA5-1367	SARs013	GJA5-1367-RNA	
GJA5-1442	ndk	nucleoside diphosphate kinase	
GJA5-892	SAR0920	NAD-specific glutamate dehydrogenase	
GJA5-1443	SAR1479	heptaprenyl diphosphate synthase component II	
GJA5-2249	SAR2271	hypothetical protein	
GJA5-621	SAR0627	hypothetical protein	
GJA5-1444	ubiE	ubiquinone/menaquinone biosynthesis methyltransferase	
GJA5-814	SAR0838	hypothetical protein	
GJA5-1445	SAR1481	hypothetical protein	
GJA5-366	SAR0378	hypothetical protein	
GJA5-290	SAR0301	hypothetical protein	
GJA5-1446	hup	DNA-binding protein HU	
GJA5-490	SAR0504	transcription-repair coupling factor	
GJA5-2252	SAR2274	hypothetical protein	
GJA5-1002	SAR1035	hypothetical protein	
GJA5-1447	gpsA	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	
GJA5-1448	engA	GTP-binding protein EngA	
GJA5-1123	SAR1156	cell division protein	
GJA5-2253	SAR2275	hypothetical protein	
GJA5-1449	rpsA	30S ribosomal protein S1	
GJA5-929	appC	oligopeptide ABC transporter permease	
GJA5-1450	cmk	cytidylate kinase	
GJA5-2254	opuD2	glycine betaine transporter 2	
GJA5-1451	SAR1487	L-asparaginase	
GJA5-622	SAR0628	hypothetical protein	
GJA5-2255	SAR2277	zinc-binding dehydrogenase	Q6GEP3
GJA5-1452	SAR1488	pyridine nucleotide-disulfide oxidoreductase	
GJA5-464	SARr002	23S ribosomal RNA	
GJA5-815	SAR0839	hypothetical protein	
GJA5-2256	SAR2278	zinc-binding dehydrogenase	
GJA5-1453	ebpS	cell surface elastin binding protein	
GJA5-367	SAR0379	hypothetical protein	
GJA5-2257	SAR2279	hypothetical protein	
GJA5-291	SAR0302	formate/nitrite transporter	
GJA5-1454	SAR1490	DEAD/DEAH box helicase	
GJA5-2258	lacG	6-phospho-beta-galactosidase	
GJA5-491	SAR0505	polysaccharide biosynthesis protein	
GJA5-1003	folD	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	
GJA5-1455	SAR1491	hypothetical protein	
GJA5-2260	lacF	PTS system lactose-specific transporter subunit IIA	
GJA5-1456	SAR1492	ferredoxin	
GJA5-1124	pbpA	penicillin-binding protein 1	
GJA5-2261	lacD	tagatose 1,6-diphosphate aldolase	
GJA5-1457	SAR1493	hypothetical protein	
GJA5-1459	SAR1494	lipoprotein	
GJA5-893	glpQ	glycerophosphoryl diester phosphodiesterase	
GJA5-1460	SAR1495	lipoprotein	
GJA5-2268	SAR2289a	hypothetical protein	
GJA5-623	SAR0629	phage integrase	
GJA5-1461	SAR1497	amidase	
GJA5-816	SAR0840	hypothetical protein	
GJA5-1462	SAR1498	holin	
GJA5-368	SAR0380	hypothetical protein	
GJA5-2266	SAR2288	NAD-dependent deacetylase	
GJA5-292	SAR0303	amino acid transport system	
GJA5-1463	SAR1499	hypothetical protein	
GJA5-492	SAR0506	tetrapyrrole (corrin/porphyrin) methylase	
GJA5-1004	purE	phosphoribosylaminoimidazole carboxylase catalytic subunit	
GJA5-1464	SAR1500	hypothetical protein	
GJA5-2269	SAR2290	aldo/keto reductase	
GJA5-1465	SAR1501	hypothetical protein	
GJA5-1125	mraY	phospho-N-acetylmuramoyl-pentapeptide- transferase	
GJA5-2270	SAR2291	MerR family transcriptional regulator	
GJA5-1466	SAR1502	hypothetical protein	
GJA5-2271	hysA2	hyaluronate lyase precursor 2	
GJA5-930	SAR0961	transposase	
GJA5-1467	SAR1503	hypothetical protein	
GJA5-2272	SAR2293	M23/M37 familypeptidase	
GJA5-1468	SAR1504	hypothetical protein	
GJA5-1912	SARt035	tRNA-Asp	
GJA5-2273	SAR2294	hypothetical protein	Q6GEM5
GJA5-624	SAR0630	monovalent cation/H+ antiporter subunit A	
GJA5-1469	SAR1505	hypothetical protein	
GJA5-2274	SAR2295	hypothetical protein	
GJA5-817	SAR0841	acetyltransferase	
GJA5-1470	SAR1506	hypothetical protein	
GJA5-369	SAR0381	hypothetical protein	
GJA5-2275	SAR2296	hypothetical protein	
GJA5-293	SAR0304	hypothetical protein	
GJA5-1471	SAR1507	hypothetical protein	
GJA5-2276	SAR2297	acetolactate synthase	
GJA5-493	SAR0507	S4 domain-containing protein	
GJA5-1005	purK	phosphoribosylaminoimidazole carboxylase ATPase subunit	
GJA5-1472	SAR1508	hypothetical protein	
GJA5-2277	SAR2297a	hypothetical protein	
GJA5-1473	SAR1509	hypothetical protein	
GJA5-1126	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	
GJA5-1474	SAR1510	major tail protein	
GJA5-2278	SAR2297b	hypothetical protein	
GJA5-1419	rnpB	rnpB	
GJA5-1475	SAR1511	major tail protein	
GJA5-894	argH	argininosuccinate lyase	
GJA5-1476	SAR1512	hypothetical protein	
GJA5-2279	SAR2299	hypothetical protein	
GJA5-625	SAR0631	monovalent cation/H+ antiporter subunit B	
GJA5-1477	SAR1513	hypothetical protein	
GJA5-2280	rpsI	30S ribosomal protein S9	
GJA5-465	SARr003	5S ribosomal RNA	
GJA5-818	clfA	clumping factor	
GJA5-1478	SAR1514	hypothetical protein	
GJA5-370	SAR0382	terminase small subunit	
GJA5-2281	rplM	50S ribosomal protein L13	
GJA5-294	SAR0305	hypothetical protein	
GJA5-1479	SAR1515	hypothetical protein	
GJA5-2282	truA	tRNA pseudouridine synthase A	
GJA5-494	SAR0508	cell division protein	
GJA5-1006	purC	phosphoribosylaminoimidazole-succinocarboxamide synthase	
GJA5-1480	SAR1516	hypothetical protein	
GJA5-2283	SAR2303	cobalt transport protein	
GJA5-1481	SAR1517	phage protease	
GJA5-2284	cbiO	cobalt transporter ATP-binding subunit	
GJA5-1482	SAR1518	portal protein	
GJA5-2285	cbiO	cobalt transporter ATP-binding subunit	
GJA5-931	SAR0962	insertion element protein	
GJA5-1483	SAR1519	terminase large subunit	
GJA5-2286	SAR2306	insertion element protein	
GJA5-1484	SAR1520	terminase small subunit	
GJA5-2287	SAR2307	transposase	
GJA5-626	SAR0632	monovalent cation/H+ antiporter subunit C	
GJA5-1485	SAR1521	hypothetical protein	
GJA5-2288	rplQ	50S ribosomal protein L17	
GJA5-819	SAR0845	hypothetical protein	
GJA5-1486	SAR1522	phage regulatory protein	
GJA5-371	SAR0383	hypothetical protein	
GJA5-2289	rpoA	DNA-directed RNA polymerase subunit alpha	
GJA5-295	SAR0306	ABC transporter ATP-binding protein	
GJA5-1487	SAR1523	hypothetical protein	
GJA5-2290	rpsK	30S ribosomal protein S11	
GJA5-495	SAR0509	hypothetical protein	
GJA5-1007	SAR1041	hypothetical protein	
GJA5-1488	SAR1524	hypothetical protein	
GJA5-2291	rpsM	30S ribosomal protein S13	
GJA5-1489	SAR1525	hypothetical protein	
GJA5-1128	ftsA	cell division protein	
GJA5-2292	rpmJ	50S ribosomal protein L36	
GJA5-1490	SAR1526	exported phage protein	
GJA5-2293	infA	translation initiation factor IF-1	
GJA5-1491	SAR1527	hypothetical protein	
GJA5-895	argG	argininosuccinate synthase	
GJA5-2294	adk	adenylate kinase	
GJA5-1492	SAR1528	hypothetical protein	
GJA5-2295	secY	preprotein translocase subunit SecY	
GJA5-627	SAR0633	monovalent cation/H+ antiporter subunit D	
GJA5-1493	SAR1529	hypothetical protein	
GJA5-2296	rplO	50S ribosomal protein L15	
GJA5-820	SAR0846	hypothetical protein	
GJA5-1494	SAR1530	hypothetical protein	
GJA5-372	SAR0384	hypothetical protein	
GJA5-2297	rpmD	50S ribosomal protein L30	
GJA5-296	SAR0307	hypothetical protein	
GJA5-1495	SAR1531	hypothetical protein	
GJA5-2298	rpsE	30S ribosomal protein S5	
GJA5-496	SAR0510	hypothetical protein	
GJA5-1008	purQ	phosphoribosylformylglycinamidine synthase I	
GJA5-1496	SAR1532	hypothetical protein	
GJA5-2299	rplR	50S ribosomal protein L18	
GJA5-1497	SAR1533	hypothetical protein	
GJA5-1129	ftsZ	cell division protein FtsZ	
GJA5-2300	rplF	50S ribosomal protein L6	
GJA5-1498	SAR1534	hypothetical protein	
GJA5-2301	rpsH	30S ribosomal protein S8	
GJA5-932	SAR0963	transposase	
GJA5-1499	SAR1535	hypothetical protein	
GJA5-2302	rpsN	30S ribosomal protein S14	
GJA5-1500	SAR1536	hypothetical protein	
GJA5-1913	SARt036	tRNA-Met	
GJA5-2303	rplE	50S ribosomal protein L5	
GJA5-628	SAR0634	monovalent cation/H+ antiporter subunit E	
GJA5-1501	SAR1537	hypothetical protein	
GJA5-2304	rplX	50S ribosomal protein L24	
GJA5-821	nuc	thermonuclease precursor	
GJA5-1502	SAR1538	hypothetical protein	
GJA5-373	SAR0385	hypothetical protein	
GJA5-2305	rplN	50S ribosomal protein L14	
GJA5-297	SAR0308	PfkB family carbohydrate kinase	
GJA5-1503	SAR1539	DNA-binding protein	
GJA5-2306	rpsQ	30S ribosomal protein S17	
GJA5-497	hpt	hypoxanthine phosphoribosyltransferase	
GJA5-1009	purL	phosphoribosylformylglycinamidine synthase II	
GJA5-1504	SAR1540	hypothetical protein	
GJA5-2307	rpmC	50S ribosomal protein L29	
GJA5-1505	SAR1541	DNA polymerase	
GJA5-1130	SAR1163	hypothetical protein	Q6GHP8
GJA5-2308	rplP	50S ribosomal protein L16	
GJA5-1506	SAR1542	hypothetical protein	
GJA5-2309	rpsC	30S ribosomal protein S3	
GJA5-1458	SARs015	GJA5-1458-RNA	
GJA5-1507	SAR1543	hypothetical protein	
GJA5-896	pgi	glucose-6-phosphate isomerase	
GJA5-2310	rplV	50S ribosomal protein L22	
GJA5-1508	SAR1544	hypothetical protein	
GJA5-2311	rpsS	30S ribosomal protein S19	
GJA5-629	SAR0635	monovalent cation/H+ antiporter subunit F	
GJA5-1509	SAR1545	hypothetical protein	
GJA5-2312	rplB	50S ribosomal protein L2	
GJA5-505	SARr004	5S ribosomal RNA	
GJA5-822	cspC	cold shock protein	
GJA5-1510	SAR1546	hypothetical protein	
GJA5-374	SAR0386	hypothetical protein	
GJA5-2313	rplW	50S ribosomal protein L23	
GJA5-298	SAR0309	hypothetical protein	
GJA5-1511	SAR1547	DNA-binding protein	
GJA5-2314	rplD	50S ribosomal protein L4	
GJA5-498	ftsH	cell division protein	
GJA5-1010	purF	amidophosphoribosyltransferase	
GJA5-1512	SAR1548	hypothetical protein	
GJA5-2315	rplC	50S ribosomal protein L3	
GJA5-1513	SAR1549	hypothetical protein	
GJA5-1131	SAR1164	hypothetical protein	
GJA5-2316	rpsJ	30S ribosomal protein S10	
GJA5-1514	SAR1550	hypothetical protein	
GJA5-2317	SAR2337	hypothetical protein	
GJA5-933	trpS	tryptophanyl-tRNA synthetase	
GJA5-1515	SAR1551	hypothetical protein	
GJA5-2318	SAR2338	xanthine/uracil permease	
GJA5-1516	SAR1552	hypothetical protein	
GJA5-2319	SAR2339	DNA topoisomerase III	
GJA5-630	SAR0637	sodium/hydrogen exchanger family protein	
